Player Name,Team,image_url,image_url
Aaron RAMSEY,Arsenal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-GM1iQwoIRrGke_-dtHbZEz7zpPqPIYa7k-BilWA&s,True
Alexandre SONG,Arsenal,https://c8.alamy.com/compfr/jdc35x/alexandre-song-arsenal-fc-stade-emirates-londres-angleterre-21-fevrier-2009-jdc35x.jpg,True
Alex OXLADE-CHAMBERLAIN,Arsenal,https://w7.pngwing.com/pngs/810/903/png-transparent-alex-oxlade-chamberlain-arsenal-f-c-football-player-sport-footballer-sports-shoe-football-player.png,True
Armand TRAORE,Arsenal,https://www.arsenalpics.com/p/5/armand-traore-arsenal-523433.jpg.webp,True
Francis COQUELIN,Arsenal,https://resources.premierleague.com/premierleague/photos/players/250x250/p56864.png,True
Marouane CHAMAKH,Arsenal,https://e7.pngegg.com/pngimages/553/769/png-clipart-arsenal-f-c-t-shirt-football-player-shoulder-arsenal-f-c-tshirt-jersey.png,True
Mikel ARTETA,Arsenal,https://resources.premierleague.com/premierleague/photos/players/250x250/man51018.png,True
Per MERTESACKER,Arsenal,https://w7.pngwing.com/pngs/884/974/png-transparent-per-mertesacker-arsenal-f-c-t-shirt-premier-league-turners-cross-barbers-arsenal-f-c-tshirt-white-sport.png,True
Yossi BENAYOUN,Arsenal,https://media.gettyimages.com/id/124234790/photo/yossi-benayoun-poses-for-a-photograph-after-signing-for-arsenal-at-london-colney-on-september.jpg?s=612x612&w=gi&k=20&c=iozTC1-1KI1cQPOhm7hNCYDbFI8ropR7S8oBDBv44RQ=,True
Samir NASRI,Arsenal,https://e7.pngegg.com/pngimages/42/801/png-clipart-team-sport-football-player-sports-robin-van-persie-arsenal-team-sports-equipment.png,True
Nicklas BENDTNER,Arsenal,https://e7.pngegg.com/pngimages/362/677/png-clipart-football-player-team-sport-joel-campbell-sport-sports-equipment-thumbnail.png,True
Ignasi MIQUEL,Arsenal,https://static.wikia.nocookie.net/the-football-database/images/1/17/Ignasi_Miquel.png/revision/latest/scale-to-width-down/200?cb=20140811135836,True
Andre SANTOS,Arsenal,https://media.gettyimages.com/id/123123455/fr/photo/andre-santos-poses-for-a-portrait-as-he-signs-for-arsenal-from-as-monaco-at-london-colney-on.jpg?s=612x612&w=gi&k=20&c=jpo9x3mwvmCwF2bLMjo2ZFJYCwhPxC1JhwOdaERXgwk=,True
Henri LANSBURY,Arsenal,https://resources.premierleague.com/premierleague/photos/players/250x250/p40564.png,True
Yao GERVINHO,Arsenal,https://c8.alamy.com/compfr/2bat169/gervinho-arsenal-2bat169.jpg,True
Wojciech SZCZESNY,Arsenal,https://cdn.imgbin.com/3/19/14/imgbin-wojciech-szcz-sny-juventus-f-c-arsenal-f-c-jersey-soccer-player-szczesny-8ratUedVzqLTJYmDSpbtyFzKe.jpg,True
Carl JENKINSON,Arsenal,https://resources.premierleague.com/premierleague/photos/players/250x250/p80254.png,True
Thomas VERMAELEN,Arsenal,https://e7.pngegg.com/pngimages/309/480/png-clipart-thomas-vermaelen-fc-barcelona-camp-nou-arsenal-f-c-jersey-fc-barcelona-tshirt-blue.png,True
Park CHU-YOUNG,Arsenal,https://www.arsenalpics.com/p/5/park-chu-young-arsenal-arsenal-training-ground-5445819.jpg.webp,True
Nico YENNARIS,Arsenal,https://www.arsenal.com/sites/default/files/styles/large_16x9/public/gun__1362584422_yennaris2.jpg?itok=p9K36vZ6,True
Andrey ARSHAVIN,Arsenal,https://e7.pngegg.com/pngimages/831/906/png-clipart-arsenal-f-c-premier-league-football-player-rendering-team-sport-arsenal-f-c-jersey-shoe-thumbnail.png,True
Thierry HENRY,Arsenal,https://e7.pngegg.com/pngimages/466/820/png-clipart-thierry-henry-arsenal-f-c-premier-league-golden-boot-football-player-arsenal-f-c-tshirt-jersey-thumbnail.png,True
Bacary SAGNA,Arsenal,https://futhead.cursecdn.com/static/img/14/players/163419.png,True
Sebastien SQUILLACI,Arsenal,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Sebastien_Squillaci_Arsenal_vs_Birmingham_2010-11.jpg/275px-Sebastien_Squillaci_Arsenal_vs_Birmingham_2010-11.jpg,True
Tomas ROSICKY,Arsenal,https://resources.premierleague.com/premierleague/photos/players/250x250/p8597.png,True
Johan DJOUROU,Arsenal,https://www.arsenalpics.com/p/5/johan-djourou-arsenal-523417.jpg.webp,True
Emmanuel FRIMPONG,Arsenal,https://www.arsenalpics.com/p/5/emmanuel-frimpong-arsenal-arsenal-1st-team-3777091.jpg.webp,True
Kieran GIBBS,Arsenal,https://w7.pngwing.com/pngs/792/354/png-transparent-jack-wilshere-arsenal-f-c-jersey-football-player-arsenal-f-c-tshirt-sport-team.png,True
Laurent KOSCIELNY,Arsenal,https://resources.premierleague.com/premierleague/photos/players/250x250/p51507.png,True
Robin VAN PERSIE,Arsenal,https://www.footyrenders.com/render/robin-van-persie-5.png,True
Abou DIABY,Arsenal,https://w7.pngwing.com/pngs/870/398/png-transparent-abou-diaby-arsenal-f-c-football-player-premier-league-arsenal-f-c-sport-sports-equipment-jersey.png,True
Theo WALCOTT,Arsenal,https://e7.pngegg.com/pngimages/682/898/png-clipart-theo-walcott-arsenal-f-c-soccer-player-premier-league-theo-walcott-arsenal-tshirt-jersey.png,True
Stephen WARNOCK,Aston Villa,https://www.leballonrond.fr/img/jogadores/57/854957_med__20211215231156_stephen_warnock.png,True
Shay GIVEN,Aston Villa,https://cdn.soccerwiki.org/images/player/1194.png,True
Richard DUNNE,Aston Villa,https://resources.premierleague.com/premierleague/photos/players/250x250/p1764.png,True
Marc ALBRIGHTON,Aston Villa,https://w7.pngwing.com/pngs/42/826/png-transparent-marc-albrighton-aston-villa-f-c-football-player-aston-villa-sport-jersey-shoe-thumbnail.png,True
Nathan BAKER,Aston Villa,https://s.hs-data.com/bilder/spieler/gross/148324.jpg,True
